证券代码,"市盈率(PE,TTM)
[交易日期]3月前","市销率(PS，TTM)
[交易日期]3月前","净资产收益率ROE(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","总资产报酬率ROA(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","企业倍数(EV2/EBITDA)
[交易日期]3月前","BIAS乖离率
[交易日期]3月前
[周期]20
[复权方式]不复权
[计算周期]日
[单位]%","RSI相对强弱指标
[交易日期]3月前
[周期]14
[复权方式]不复权
[计算周期]日","换手率
[交易日期]3月前
[单位]%","营业利润/营业总收入(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","月收盘价
[交易日期]2020-03-19
[复权方式]不复权","月收盘价
[交易日期]2020-04-17
[复权方式]不复权"
000568.SZ,21.5062,6.3801,23.3417,19.9273,14.8675,-14.612,29.9558,1.4583,39.2944,73.65,79.17
000570.SZ,41.4908,1.1658,2.784,1.8271,15.8746,-4.9288,42.29,1.3067,3.0984,4.27,4.52
000573.SZ,7.4757,1.2731,13.7268,10.0606,14.6785,-6.3304,37.0634,1.2099,20.4735,2.72,2.66
000576.SZ,12.0795,5.4555,19.744,15.5655,19.0851,-9.8629,35.5597,1.285,46.7374,7.25,6.8
000581.SZ,9.005,2.2753,12.1669,9.1216,6.4743,-7.34,38.1186,1.188,27.1267,19,20.2
000582.SZ,15.9342,3.0229,9.1272,7.1062,8.0224,-1.3458,46.5959,0.3683,24.9761,9.07,9.87
000584.SZ,52.0828,2.0368,4.0473,3.7232,32.5141,-4.1714,45.7723,1.3408,5.2977,5.41,5.01
000586.SZ,421.6434,4.8003,2.1141,2.0005,130.2791,2.6085,53.8747,6.0247,1.4063,10.89,10.05
000589.SZ,20.0851,0.4753,4.1405,3.1085,9.4025,-7.1274,32.5103,1.2979,3.13,3.96,3.91
000590.SZ,-237.5156,8.4407,-1.5492,-0.6093,29.5464,-9.8708,34.2633,1.561,-1.4205,10.54,9.82
000591.SZ,10.7603,1.813,7.2119,5.1054,9.4877,-7.3276,40.037,1.8581,19.4381,3.23,3.33
000592.SZ,-203.045,5.1216,-0.723,-0.1523,55.7859,-6.262,42.2044,2.8888,-2.3644,2.49,2.29
000593.SZ,-9.6464,2.1511,-18.7146,-6.721,14.9491,-6.1925,32.5415,0.9303,-19.9428,4.97,4.83
000596.SZ,24.3313,5.2404,24.3861,21.1777,13.776,-15.4962,29.6095,1.4006,29.3653,114.23,134.89
000597.SZ,29.508,0.7989,5.6111,2.8206,14.7224,-10.7601,31.8905,1.4406,1.5524,7.45,7.27
000598.SZ,13.0051,2.9072,9.6163,5.476,8.5598,1.2141,53.6552,1.0781,26.9423,4.57,4.83
000599.SZ,"1,245.38",0.8047,0.0761,1.2966,106.6785,-6.6298,34.9726,0.682,0.1427,4.04,3.8
000600.SZ,13.3066,0.5862,5.3439,5.1827,5.885,-5.2379,42.7336,1.4392,8.1386,4.35,4.77
000601.SZ,14.4225,1.7673,10.7768,7.8794,10.2367,4.3558,58.1296,2.3326,16.4399,5.5,5.47
000603.SZ,16.3401,2.5261,19.9237,17.2911,9.3069,-16.8851,30.874,2.0483,24.3183,11.23,10.89
000605.SZ,38.5419,1.3208,2.7445,3.235,8.4569,-2.5063,44.1716,0.8393,8.0624,5.78,5.78
000606.SZ,-28.5133,2.2611,-6.7787,-2.2355,-3.7546,-8.1845,35.4537,1.3875,12.7038,4.03,3.86
000607.SZ,35.7294,2.2406,6.963,5.2676,30.985,-8.4142,33.184,0.4615,9.5069,4.05,4.13
000608.SZ,-140.8,16.4048,-0.9327,4.4788,57.9395,-7.1985,43.5273,0.3349,44.8087,5.15,5.37
000609.SZ,-10.443,43.0656,-8.626,-3.216,29.3391,-6.6359,39.2297,2.4481,-477.673,4.55,6.57
000610.SZ,22.2163,2.4802,11.9803,9.6645,-102.4059,14.0684,66.6538,16.6118,15.9496,7.68,8.72
000612.SZ,-15.5751,0.8573,-6.2989,-2.3515,12.8817,-6.4682,32.9652,0.5622,-5.0945,3.65,3.62
000613.SZ,"-6,828.03",91.4746,-0.4341,-0.8328,313.9358,5.09,55.2833,6.025,-4.4185,7.58,6.23
000615.SZ,33.6382,1.2188,5.9354,2.6854,12.0669,18.511,65.2114,10.0817,7.3456,3.71,4.03
000616.SZ,215.3487,12.8804,0.3561,0.0748,46.2057,-10.482,39.2404,1.1078,-21.1481,2.26,2.4
000617.SZ,11.6607,2.6428,8.9363,1.9302,38.2702,-8.9329,33.2325,0.104,53.6814,9.75,10.06
000619.SZ,68.902,0.5289,1.0789,1.9608,11.395,-4.9837,40.3979,0.8414,1.4307,4.92,4.73
000620.SZ,5.2696,0.4087,13.1795,4.5766,8.7023,-11.1656,25.8436,0.6155,12.1438,2.82,2.76
000622.SZ,103.8694,4.7164,8.5692,5.1157,144.4821,-10.2361,34.2032,2.0475,-0.9751,4.12,4.22
000623.SZ,14.8991,5.4365,5.3889,5.0316,10.3961,-7.3443,36.5444,1.2164,38.3877,15.77,15.41
000625.SZ,-15.3221,0.7825,-7.1405,-3.3676,30.7086,-8.1628,43.962,1.4065,-6.3323,10.58,9.7
000626.SZ,42.6374,0.0569,3.2643,2.7859,6.8187,-11.6501,36.2532,0.5406,0.273,7,6.24
000627.SZ,21.8334,0.5904,6.2695,——,——,-3.6382,40.0411,0.4405,5.9636,5.92,5.51
000628.SZ,27.3465,0.8636,10.3277,2.3119,15.2433,-1.7762,46.8104,1.7295,4.3218,8.42,8.32
000629.SZ,7.8097,1.2877,26.2691,17.6164,9.025,-8.4941,31.7912,0.5734,15.0843,2.22,2
000630.SZ,28.1119,0.2241,4.0351,3.7999,9.8755,-6.0944,34.1711,0.6729,1.4903,1.99,1.94
000631.SZ,8.7891,2.6986,10.8012,12.4073,-0.2088,-5.3299,35.3437,0.2336,44.3478,2.9,3.03
000632.SZ,60.091,0.3677,2.8269,2.7645,19.6877,-5.2307,38.6965,1.3865,2.7081,4.29,4.01
000633.SZ,231.5661,11.5492,3.5538,0.1753,-418.8571,-6.8961,37.5408,1.0088,0.0768,3.51,3.48
000635.SZ,958.0767,1.0876,0.0887,0.0304,6.8112,-8.1883,38.9055,1.1511,0.1795,7.51,6.82
000636.SZ,38.2327,5.3388,8.6578,8.3124,25.1349,-10.5876,47.4791,7.862,17.4192,16.3,20.25
000637.SZ,21.6907,0.5288,10.9914,9.5921,10.5349,-12.3732,38.4443,2.3332,3.402,4.22,4.23
000638.SZ,-9.9232,9.3939,-86.8213,-21.9215,——,-7.5229,40.8468,1.7487,-86.823,4.26,4.14
000639.SZ,10.9689,0.8913,13.3379,9.3962,-6.0301,-4.9792,47.7055,0.7402,10.5682,6.01,5.31
